capitulo_id,name,Tema
1,Capitulo I,Objeto y Definiciones
2,Capitulo II,De la constitución del Régimen de Propiedad Horizontal
3,Capitulo III,De la extinción de la propiedad horizontal
4,Capitulo IV,De la reconstrucción del edificio o conjunto
5,Capitulo V,De los bienes privados o de dominio particular
6,Capitulo VI,De los bienes comunes
7,Capitulo VII,De los coeficientes de copropiedad
8,Capitulo VIII,De la contribución a las expensas comunes
9,Capitulo IX,De la propiedad horizontal como persona jurídica
10,Capitulo X,De la Asamblea General
11,Capitulo XI,Del administrador del edificio o conjunto
12,Capitulo XII,Del Consejo de Administración
13,Capitulo XIII,Del Revisor Fiscal del edificio o conjunto
14,Capitulo I,De la solución de conflictos
15,Capitulo II,De las sanciones por incumplimiento de obligaciones no pecuniarias
16,Capitulo I,Definición y naturaleza jurídica
17,Capitulo II,Areas sociales comunes
18,Capitulo III,Integración municipal
19,Capitulo IV,Participación comunitaria
20,Capitulo V,Obligaciones económicas
21,Capitulo I,Disposiciones finales
