pregunta_id,pregunta,pregunta_name,articulo_id,embeding
101,¿Qué es la propiedad horizontal y cómo se define en la ley?,pregunta 101,1,
102,¿Qué derechos de propiedad exclusiva y copropiedad se establecen en la propiedad horizontal?,pregunta 102,1,
103,¿Cuál es el objetivo principal de la ley que regula la propiedad horizontal?,pregunta 103,1,
104,¿Cómo se garantiza la seguridad y la convivencia pacífica en los inmuebles bajo el régimen de propiedad horizontal?,pregunta 104,1,
105,¿Cómo se relaciona la propiedad horizontal con la función social de la propiedad?,pregunta 105,1,
106,¿Qué aspectos de la ley original fueron declarados inexequibles por la Corte Constitucional?,pregunta 106,1,
107,¿Qué derechos se garantizan a los moradores no propietarios de inmuebles bajo el régimen de propiedad horizontal según la Sentencia C-318 de 2002?,pregunta 107,1,
108,¿Cómo se debe ejercer el derecho de petición y el derecho a ser oído por los moradores no propietarios?,pregunta 108,1,
109,¿Qué tipo de decisiones pueden afectar a los moradores no propietarios en el régimen de propiedad horizontal?,pregunta 109,1,
110,"¿Qué se entiende por ""autoridades internas del inmueble"" en el contexto de la Sentencia C-318 de 2002?",pregunta 110,1,
111,¿Qué tipo de sanciones pueden imponer las autoridades internas del inmueble?,pregunta 111,1,
112,¿Cómo se garantiza el derecho de defensa a los no propietarios en caso de imposición de sanciones?,pregunta 112,1,
113,¿Qué tipo de procedimientos se deben seguir para la imposición de sanciones a los no propietarios?,pregunta 113,1,
114,"¿Qué tipo de bienes se consideran ""bienes comunes"" en el régimen de propiedad horizontal?",pregunta 114,1,
115,¿Cómo se administran los bienes comunes en la propiedad horizontal?,pregunta 115,1,
116,¿Qué tipo de conflictos pueden surgir en el régimen de propiedad horizontal?,pregunta 116,1,
117,¿Cómo se resuelven los conflictos en la propiedad horizontal?,pregunta 117,1,
118,¿Existen mecanismos para la protección de los derechos de los propietarios y no propietarios en el régimen de propiedad horizontal?,pregunta 118,1,
201,¿Cuáles son los principios orientadores de la ley en relación a la propiedad horizontal?,pregunta 201,2,
202,¿Cómo se relaciona la ley con la función social y ecológica de la propiedad?,pregunta 202,2,
203,¿Qué importancia tiene la convivencia pacífica y la solidaridad social en la propiedad horizontal?,pregunta 203,2,
204,¿Cómo se garantiza el respeto de la dignidad humana en la propiedad horizontal?,pregunta 204,2,
205,¿Qué papel juega la libre iniciativa empresarial en la propiedad horizontal?,pregunta 205,2,
206,¿Cómo se asegura el derecho al debido proceso en la propiedad horizontal?,pregunta 206,2,
207,¿Qué tipo de normatividad urbanística debe ser considerada al elaborar los reglamentos de propiedad horizontal?,pregunta 207,2,
208,¿Cómo se promueve la cooperación y solidaridad social entre los copropietarios?,pregunta 208,2,
209,¿Qué tipo de actuaciones de los órganos de administración deben inspirarse en el respeto de la dignidad humana?,pregunta 209,2,
210,¿Qué límites debe tener la libre iniciativa empresarial en la propiedad horizontal?,pregunta 210,2,
211,¿Qué tipo de sanciones se pueden imponer por incumplimiento de obligaciones no pecuniarias?,pregunta 211,2,
212,"¿Qué mecanismos de defensa, contradicción e impugnación se establecen para los copropietarios?",pregunta 212,2,
213,¿Cómo se asegura que los reglamentos de propiedad horizontal se ajusten a los principios orientadores de la ley?,pregunta 213,2,
214,¿Qué tipo de mecanismos de control se establecen para garantizar el cumplimiento de los principios?,pregunta 214,2,
