pregunta_id,pregunta,articulo_id,embeding
0_1,¿Qué se entiende por propiedad horizontal?,1,
1_1,¿Cuáles son los derechos de propiedad exclusiva que se otorgan en la propiedad horizontal?,1,
2_1,¿Qué derechos de copropiedad se reconocen en la propiedad horizontal?,1,
3_1,¿Cuál es la función social de la propiedad en el contexto de la propiedad horizontal?,1,
4_1,¿Qué tipo de bienes comunes se encuentran dentro del ámbito de la propiedad horizontal?,1,
5_1,¿Qué derechos se reconocen a los no propietarios de inmuebles sometidos a la propiedad horizontal?,1,
6_2,¿Qué función social y ecológica de la propiedad se debe respetar en los reglamentos de propiedad horizontal?,2,
7_7,¿Qué aspecto del desarrollo de un conjunto se debe indicar en la constitución?,7,
8_7,¿Qué tipo de régimen general se establece en la constitución?,7,
9_7,"¿Qué se entiende por ""coeficientes de copropiedad""?",7,
10_7,¿Qué tipo de escritura se utiliza para integrar las etapas subsiguientes?,7,
11_7,¿Qué se debe identificar en las escrituras adicionales?,7,
12_8,¿Quién es el responsable de la inscripción y certificación de la existencia y representación legal de las personas jurídicas?,8,
13_8,¿Qué documentos se deben presentar para la inscripción de una persona jurídica?,8,
14_8,¿Qué se entiende por escritura registrada de constitución del régimen de propiedad horizontal?,8,
15_9,¿Qué porcentaje de la propiedad horizontal debe ser destruida o deteriorada para que se extinguir?,9,
16_9,¿Qué tipo de decisión unánime se requiere para extinguir la propiedad horizontal?,9,
17_9,¿Qué tipo de garantía real se requiere para la decisión unánime de los titulares del derecho de propiedad?,9,
18_9,¿Qué tipo de autoridad judicial o administrativa puede ordenar la extinción de la propiedad horizontal?,9,
19_9,¿Qué sucede con el terreno sobre el cual se encontraban construidos los bienes de la propiedad horizontal después de la destrucción total del edificio?,9,
20_11,¿Qué se debe registrar para que se pueda proceder a la división de los bienes comunes?,11,
21_11,¿Cuál es el plazo máximo para la división de los bienes comunes?,11,
22_11,¿Quién puede solicitar la división de los bienes comunes?,11,
23_11,¿Qué opciones se tienen para la división de los bienes comunes?,11,
24_11,"¿Qué significa ""dividir materialmente"" en el contexto de la división de bienes comunes?",11,
25_11,¿Qué se considera como un bien común susceptible de dividirse materialmente?,11,
26_11,¿Qué normas se aplican para la división de bienes comunes?,11,
