sentencia_id,articulo_id,demanda
318,1,inconstitucional
318,3,inconstitucional
318,32,inconstitucional
318,37,inconstitucional
318,39,inconstitucional
318,42,inconstitucional
318,43,inconstitucional
318,44,inconstitucional
318,45,inconstitucional
318,47,inconstitucional
318,49,inconstitucional
318,50,inconstitucional
318,51,inconstitucional
318,53,inconstitucional
318,58,inconstitucional
318,59,inconstitucional
318,62,inconstitucional
738,3,inconstitucional
738,20,inconstitucional
738,21,inconstitucional
738,22,inconstitucional
738,45,inconstitucional
738,46,inconstitucional
738,56,inconstitucional
738,57,inconstitucional
738,59,inconstitucional
738,76,inconstitucional
782,3,inconstitucional
782,25,inconstitucional
