pregunta,articulo_id
¿Qué regula el régimen de propiedad horizontal?,3
¿Cuál es la función del reglamento de propiedad horizontal?,3
¿Qué derechos tienen los moradores no propietarios según la Sentencia C-318 de 2002?,3
¿Cómo está estructurado un edificio bajo el régimen de propiedad horizontal?,3
¿Qué características definen un conjunto inmobiliario?,3
¿Qué distingue a un edificio o conjunto de uso residencial?,3
¿Cómo se define un edificio o conjunto de uso comercial?,3
¿Cuál es la diferencia entre un edificio de uso mixto y uno de uso residencial?,3
¿Qué se considera un bien privado o de dominio particular en el régimen de propiedad horizontal?,3
¿Qué partes se consideran bienes comunes en un edificio sometido a propiedad horizontal?,3
¿Qué son los bienes comunes esenciales en el régimen de propiedad horizontal?,3
¿Qué tipo de gastos se consideran expensas comunes necesarias?,3
¿Qué ocurre con los costos de mercadeo en los conjuntos de uso comercial?,3
¿Qué se requiere para que las expensas comunes no esenciales sean obligatorias?,3
¿Qué determinan los coeficientes de copropiedad en un edificio?,3
¿Cómo se definen los módulos de contribución en los conjuntos de uso mixto?,3
¿Qué se entiende por propietario inicial en el régimen de propiedad horizontal?,3
¿Qué incluye el área privada construida de un bien bajo propiedad horizontal?,3
¿Cómo se define el área privada libre en un conjunto sometido a propiedad horizontal?,3
¿Qué declaró exequible la Corte Constitucional en la Sentencia C-522 de 2002 respecto a los coeficientes de copropiedad?,3
¿Cuál es el quórum mínimo requerido para que la asamblea general pueda sesionar?,45
¿Qué porcentaje máximo de coeficientes se puede exigir para tomar decisiones en la propiedad horizontal?,45
¿En qué caso único se puede superar el límite del 70% de los coeficientes?,45
¿Qué sucede con las mayorías superiores al 70% que estén previstas en los reglamentos?,45
¿Qué consecuencia legal tienen las decisiones que se tomen en contravención a este artículo?,45
"Según la Sentencia C-318 de 2002, ¿qué derechos tienen los moradores no propietarios?",45
¿Cómo se deben tomar las decisiones de contenido económico en copropiedades destinadas a vivienda?,45
"En decisiones de contenido no económico, ¿cómo se aplica la fórmula de votación?",45
"¿Qué significa la fórmula ""una unidad un voto"" y cuándo se aplica?",45
¿Cómo se determina el quórum deliberatorio para decisiones de contenido no económico?,45
¿Qué garantías se deben respetar cuando se imponen sanciones a no propietarios?,45
¿Qué mayoría se requiere para aprobar decisiones en una sesión regular?,45
¿Cómo afecta la Sentencia C-738 de 2002 a la interpretación del artículo?,45
¿Qué diferencia existe entre el quórum para decisiones económicas y no económicas?,45
¿Cómo se calcula la mayoría decisoria en decisiones de contenido no económico?,45
¿Qué derechos de defensa tienen los no propietarios según la sentencia?,45
¿En qué casos específicos se aplican los coeficientes de propiedad para la toma de decisiones?,45
¿Cómo se conforma la mayoría para decisiones en reuniones de segunda convocatoria?,45
¿Qué implicaciones tiene la declaración de exequibilidad del texto subrayado?,45
¿Cómo se debe interpretar la mayoría calificada en casos donde el reglamento establece porcentajes superiores al 70%?,45
¿Cuáles son las tres facultades principales que tiene el administrador en la administración inmediata del edificio o conjunto?,51
¿Con qué frecuencia debe el administrador presentar el balance general y presupuesto a la asamblea?,51
¿Qué libros debe llevar directamente o bajo su responsabilidad el administrador?,51
¿Qué documentos debe preparar y someter a consideración del Consejo de Administración?,51
¿Necesita el administrador autorización para iniciar cobros judiciales de cuotas ordinarias y extraordinarias?,51
¿Cómo debe manejar el administrador los bienes comunes desafectados?,51
¿Qué responsabilidad tiene el administrador respecto a la contabilidad del edificio o conjunto?,51
¿En qué casos puede el administrador conceder poderes especiales?,51
¿Cuándo debe el administrador expedir el paz y salvo de cuentas?,51
¿Qué debe hacer el administrador con las reformas al reglamento aprobadas por la asamblea?,51
¿Cómo debe el administrador notificar las sanciones a los propietarios?,51
¿Qué derechos tienen los moradores no propietarios según la Sentencia C-318 de 2002?,51
¿Cuándo se pueden hacer efectivas las sanciones por incumplimiento?,51
¿Qué documentos debe poner en conocimiento de los propietarios y residentes?,51
¿Qué sucede cuando el administrador es una persona jurídica?,51
¿Qué responsabilidades tiene el administrador en relación con los bienes comunes?,51
¿Qué tipos de cobros puede realizar el administrador directamente o a través de apoderados?,51
¿Cómo debe garantizar el administrador el derecho de defensa de los no propietarios?,51
¿Qué documentos financieros debe incluir en el presupuesto anual?,51
¿Quién puede definir funciones adicionales para el administrador además de las establecidas en la ley?,51
¿Qué tipo de obligaciones son objeto de estas sanciones?,59
¿Qué requisito previo debe cumplirse antes de imponer una sanción?,59
¿Qué derechos tienen los moradores no propietarios según la Sentencia C-318 de 2002?,59
¿Cuál es el límite máximo de una multa individual?,59
¿Cuál es el tope máximo acumulado de las multas sucesivas?,59
¿Qué bienes comunes pueden ser objeto de restricción como sanción?,59
¿Qué tipo de bienes comunes no pueden ser restringidos según el parágrafo?,59
¿Cómo se debe realizar la publicación de la lista de infractores?,59
¿Qué información debe incluirse en la publicación de infractores?,59
¿Qué garantías de defensa deben respetarse para los no propietarios?,59
¿Por cuánto tiempo pueden mantenerse las multas sucesivas?,59
¿Cómo se calcula el valor base de las multas?,59
