articulo_id,articulo_name,detalla,contenido,conteo_palabras,rango_palabras
3,Artículo 3,Reglamentado por el Decreto Nacional 1060 de 2009,"Definiciones. Para los efectos de la presente ley se establecen las siguientes definiciones:
Régimen de Propiedad Horizontal: Sistema jurídico que regula el sometimiento a propiedad horizontal de un edificio o conjunto, construido o por construirse.
Reglamento de Propiedad Horizontal. Estatuto que regula los derechos y obligaciones específicas de los copropietarios de un edificio o conjunto sometido al régimen de propiedad horizontal. NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-318 de 2002, ""bajo el entendido de que los moradores no propietarios de inmuebles sometidos al régimen de propiedad horizontal podrán ejercer ante las autoridades internas del mismo el derecho de petición, así como el de ser oídos en las decisiones que puedan afectarlos, conforme a lo expuesto en la parte motiva de esta sentencia.Igualmente, se declara la exequibilidad de las normas acusadas bajo el entendido de que, cuando se trate de la imposición de sanciones por parte de las autoridades internas del inmueble sometido al régimen de propiedad horizontal, habrá de respetarse y garantizarse a los no propietarios el ejercicio del derecho de defensa"".
Edificio: Construcción de uno o varios pisos levantados sobre un lote o terreno, cuya estructura comprende un número plural de unidades independientes, aptas para ser usadas de acuerdo con su destino natural o convencional, además de áreas y servicios de uso y utilidad general. Una vez sometido al régimen de propiedad horizontal, se conforma por bienes privados o de dominio particular y por bienes comunes.
Conjunto: Desarrollo inmobiliario conformado por varios edificios levantados sobre uno o varios lotes de terreno, que comparten, áreas y servicios de uso y utilidad general, como vías internas, estacionamientos, zonas verdes, muros de cerramiento, porterías, entre otros. Puede conformarse también por varias unidades de vivienda, comercio o industria, estructuralmente independientes.
Edificio o conjunto de uso residencial: Inmuebles cuyos bienes de dominio particular se encuentran destinados a la vivienda de personas, de acuerdo con la normatividad urbanística vigente.
Edificio o conjunto de uso comercial: Inmuebles cuyos bienes de dominio particular se encuentran destinados al desarrollo de actividades mercantiles, de conformidad con la normatividad urbanística vigente.
Edificio o conjunto de uso mixto: Inmuebles cuyos bienes de dominio particular tienen diversas destinaciones, tales como vivienda, comercio, industria u oficinas, de conformidad con la normatividad urbanística vigente.
Bienes privados o de dominio particular: Inmuebles debidamente delimitados, funcionalmente independientes, de propiedad y aprovechamiento exclusivo, integrantes de un edificio o conjunto sometido al régimen de propiedad horizontal, con salida a la vía pública directamente o por pasaje común.
Bienes comunes: Partes del edificio o conjunto sometido al régimen de propiedad horizontal pertenecientes en proindiviso a todos los propietarios de bienes privados, que por su naturaleza o destinación permiten o facilitan la existencia, estabilidad, funcionamiento, conservación, seguridad, uso, goce o explotación de los bienes de dominio particular.
Bienes comunes esenciales: Bienes indispensables para la existencia, estabilidad, conservación y seguridad del edificio o conjunto, así como los imprescindibles para el uso y disfrute de los bienes de dominio particular. Los demás tendrán el carácter de bienes comunes no esenciales. Se reputan bienes comunes esenciales, el terreno sobre o bajo el cual existan construcciones o instalaciones de servicios públicos básicos, los cimientos, la estructura, las circulaciones indispensables para aprovechamiento de bienes privados, las instalaciones generales de servicios públicos, las fachadas y los techos o losas que sirven de cubiertas a cualquier nivel.
Expensas comunes necesarias: Erogaciones necesarias causadas por la administración y la prestación de los servicios comunes esenciales requeridos para la existencia, seguridad y conservación de los bienes comunes del edificio o conjunto. Para estos efectos se entenderán esenciales los servicios necesarios, para el mantenimiento, reparación, reposición, reconstrucción y vigilancia de los bienes comunes, así como los servicios públicos esenciales relacionados con estos.
En los edificios o conjuntos de uso comercial, los costos de mercadeo tendrán el carácter de expensa común necesaria, sin perjuicio de las excepciones y restricciones que el reglamento de propiedad horizontal respectivo establezca.NOTA: Texto subrayado declarado exequible por la Corte Constitucional mediante Sentencia C-738 de 2002.
Las expensas comunes diferentes de las necesarias, tendrán carácter obligatorio cuando sean aprobadas por la mayoría calificada exigida para el efecto en la presente ley.
Coeficientes de copropiedad: Indices que establecen la participación porcentual de cada uno de los propie tarios de bienes de dominio particular en los bienes comunes del edificio o conjunto sometido al régimen de propiedad horizontal. Definen además su participación en la asamblea de propietarios y la proporción con que cada uno contribuirá en las expensas comunes del edificio o conjunto, sin perjuicio de las que se determinen por módulos de contribución, en edificios o conjuntos de uso comercial o mixto. NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-522 de 2002.
Módulos de contribución: Indices que establecen la participación porcentual de los propietarios de bienes de dominio particular, en las expensas causadas en relación con los bienes y servicios comunes cuyo uso y goce corresponda a una parte o sector determinado del edificio o conjunto de uso comercial o mixto.
Propietario inicial: Titular del derecho de dominio sobre un inmueble determinado, que por medio de manifestación de voluntad contenida en escritura pública, lo somete al régimen de propiedad horizontal.
Area privada construida: Extensión superficiaria cubierta de cada bien privado, excluyendo los bienes comunes localizados dentro de sus linderos, de conformidad con las normas legales.
Area privada libre: Extensión superficiaria privada semidescubierta o descubierta, excluyendo los bienes comunes localizados dentro de sus linderos, de conformidad con las normas legales.",910,217-910
5,Artículo 5,Contenido de la escritura o reglamento de propiedad horizontal,"a escritura pública que contiene el reglamento de propiedad horizontal deberá incluir como mínimo:
1. El nombre e identificación del propietario.
2. El nombre distintivo del edificio o conjunto.
3. La determinación del terreno o terrenos sobre los cuales se levanta el edificio o conjunto, por su nomenclatura, área y linderos, indicando el título o títulos de adquisición y los correspondientes folios de matrícula inmobiliaria.
4. La identificación de cada uno de los bienes de dominio particular de acuerdo con los planos aprobados por la Oficina de Planeación Municipal o Distrital o por la entidad o persona que haga sus veces.
5. La determinación de los bienes comunes, con indicación de los que tengan el carácter de esenciales, y de aquellos cuyo uso se asigne a determinados sectores del edificio o conjunto, cuando fuere el caso.
6. Los coeficientes de copropiedad y los módulos de contribución, según el caso.
7. La destinación de los bienes de dominio particular que conforman el edificio o conjunto, la cual deberá ajustarse a las normas urbanísticas vigentes.
8. Las especificaciones de construcción y condiciones de seguridad y salubridad del edificio o conjunto.
Además de este contenido básico, los reglamentos de propiedad horizontal incluirán las regulaciones relacionadas con la administración, dirección y control de la persona jurídica que nace por ministerio de esta ley y las reglas que gobiernan la organización y funcionamiento del edificio o conjunto.
PARÁGRAFO 1º. En ningún caso las disposiciones contenidas en los reglamentos de propiedad horizontal podrán vulnerar las normas imperativas contenidas en esta ley y, en tal caso, se entenderán no escritas.
PARÁGRAFO 2º. En los municipios o distritos donde existan planos prediales georreferenciados, adoptados o debidamente aprobados por la autoridad catastral competente, estos podrán sustituir los elementos de determinación del terreno enunciados en el numeral tercero del presente artículo.
PARÁGRAFO 3º. Los reglamentos de propiedad horizontal de los edificios o conjuntos de uso comercial podrán consagrar, además del contenido mínimo previsto en esta ley, regulaciones tendientes a preservar el ejercicio efectivo y continuo de la actividad mercantil en los bienes privados, y a propender a su ubicación según el uso específico o sectorial al cual se encuentren destinados, así como las obligaciones específicas de los propietarios en relación con sus bienes privados.
PARÁGRAFO 4º. El reglamento de administración de la propiedad horizontal no podrá contener normas que prohíban la enajenación o gravamen de los bienes de dominio privado, ni limitar o prohibir la cesión de los mismos a cualquier título.",412,217-910
18,Artículo 18,Obligaciones de los propietarios respecto de los bienes de dominio particular o privado,"En relación con los bienes de dominio particular sus propietarios tienen las siguientes obligaciones:
1. Usarlos de acuerdo con su naturaleza y destinación, en la forma prevista en el reglamento de propiedad horizontal, absteniéndose de ejecutar acto alguno que comprometa la seguridad o solidez del edificio o conjunto, producir ruidos, molestias y actos que perturben la tranquilidad de los demás propietarios u ocupantes o afecten la salud pública.
En caso de uso comercial o mixto, el propietario o sus causahabientes, a cualquier título, solo podrán hacer servir la unidad privada a los fines u objetos convenidos en el reglamento de propiedad horizontal, salvo autorización de la asamblea. En el reglamento de copropiedad se establecerá la procedencia, requisitos y trámite aplicable al efecto. Ver Sentencia Corte Constitucional 738 de 2002
2. Ejecutar de inmediato l as reparaciones en sus bienes privados, incluidas las redes de servicios ubicadas dentro del bien privado, cuya omisión pueda ocasionar perjuicios al edificio o conjunto o a los bienes que lo integran, resarciendo los daños que ocasione por su descuido o el de las personas por las que deba responder.
3. El propietario del último piso, no puede elevar nuevos pisos o realizar nuevas construcciones sin la autorización de la asamblea, previo cumplimiento de las normas urbanísticas vigentes. Al propietario del piso bajo le está prohibido adelantar obras que perjudiquen la solidez de la construcción, tales como excavaciones, sótanos y demás, sin la autorización de la asamblea, previo cumplimiento de las normas urbanísticas vigentes.
4. Las demás previstas en esta ley y en el reglamento de propiedad horizontal.",262,217-910
19,Artículo 19,Reglamentado por el Decreto Nacional 1060 de 2009,"Alcance y naturaleza. Los bienes, los elementos y zonas de un edificio o conjunto que permiten o facilitan la existencia, estabilidad, funcionamiento, conservación, seguridad, uso o goce de los bienes de dominio particular, pertenecen en común y proindiviso a los propietarios de tales bienes privados, son indivisibles y, mientras conserven su carácter de bienes comunes, son inalienables e inembargables en forma separada de los bienes privados, no siendo objeto de impuesto alguno en forma separada de aquellos.
El derecho sobre estos bienes será ejercido en la forma prevista en la presente ley y en el respectivo reglamento de propiedad horizontal.
PARÁGRAFO 1º. Tendrán la calidad de comunes no solo los bienes indicados de manera expresa en el reglamento, sino todos aquellos señalados como tales en los planos aprobados con la licencia de construcción, o en el documento que haga sus veces.
PARÁGRAFO 2º. Sin perjuicio de la disposición según la cual los bienes comunes son inajenables en forma separada de los bienes de propiedad privada o particular, los reglamentos de propiedad horizontal de los edificios o conjuntos podrán autorizar la explotación económica de bienes comunes, siempre y cuando esta autorización no se extienda a la realización de negocios jurídicos que den lugar a la transferencia del derecho de dominio de los mismos. La explotación autorizada se ubicará de tal forma que no impida la circulación por las zonas comunes, no afecte la estructura de la edificación, ni contravenga disposiciones urbanísticas ni ambientales. Las contraprestaciones económicas así obtenidas serán para el beneficio común de la copropiedad y se destinarán al pago de expensas comunes del edificio o conjunto, o a los gastos de inversión, según lo decida la asamblea general.",279,217-910
20,Artículo 20,Desafectación de bienes comunes no esenciales,"Previa autorización de las autoridades municipales o distritales competentes de conformidad con las normas urbanísticas vigentes, la asamblea general, con el voto favorable de un número plural de propietarios de bienes de dominio privado que representen el setenta por ciento (70%) de los coeficientes de copropiedad de un conjunto o edificio, podrá desafectar la calidad de común de bienes comunes no esenciales, los cuales pasarán a ser del dominio particular de la persona jurídica que surge como efecto de la constitución al régimen de propiedad horizontal.NOTA: La Corte Constitucional se declaró inhibida para fallar sobre el aparte subrayado mediante Sentencia C-738-2002.
En todo caso, la desafectación de parqueaderos, de visitantes o de usuarios, estará condicionada a la reposición de igual o mayor número de estacionamientos con la misma destinación, previo cumplimiento de las normas urbanísticas aplicables en el municipio o distrito del que se trate.
PARÁGRAFO 1º. Sobre los bienes privados que surjan como efecto de la desafectación de bienes comunes no esenciales, podrán realizarse todos los actos o negocios jurídicos, no siendo contra la ley o contra el derecho ajeno, y serán objeto de todos los beneficios, cargas e impuestos inherentes a la propiedad inmobiliaria. Para estos efectos el administrador del edificio o conjunto actuará de conformidad con lo dispuesto por la asamblea general en el acto de desafectación y con observancia de las previsiones contenidas en el reglamento de propiedad horizontal.
PARÁGRAFO 2º. No se aplicarán las normas aquí previstas a la desafectación de los bienes comunes muebles y a los inmuebles por destinación o por adherencia, no esenciales, los cuales por su naturaleza son enajenables. La enajenación de estos bienes se realizará de conformidad con lo previsto en el reglamento de propiedad horizontal.NOTA: La Corte Constitucional se declaro inhibida para fallar sobre este artículo por ineptitud de la demanda, mediante Sentencia C-738-02.",305,217-910
24,Artículo 24,Entrega de los bienes comunes por parte del propietario inicial,"Se presume que la entrega de bienes comunes esenciales para el uso y goce de los bienes privados de un edificio o conjunto, tales como los elementos estructurales, accesos, escaleras y espesores, se efectúa de manera simultánea con la entrega de aquellos según las actas correspondientes.
Los bienes comunes de uso y goce general, ubicados en el edificio o conjunto, tales como zona de recreación y deporte y salones comunales, entre otros, se entregarán a la persona o personas designadas por la asamblea general o en su defecto al administrador definitivo, a más tardar cuando se haya terminado la construcción y enajenación de un número de bienes privados que represente por lo menos el cincuenta y uno por ciento (51%) de los coeficientes de copropiedad. La entrega deberá incluir los documentos garantía de los ascensores, bombas y demás equipos, expedidas por sus proveedores, así como los planos correspondientes a las redes eléctricas, hidrosanitarias y, en general, de los servicios públicos domiciliarios.
PARÁGRAFO 1º. Cuando se trate de conjuntos o proyectos construidos por etapas, los bienes comunes esenciales para el uso y goce de los bienes privados se referirán a aquellos localizados en cada uno de los edificios o etapas cuya construcción se haya concluido.
PARÁGRAFO 2º. Los bienes comunes deberán coincidir con lo señalado en el proyecto aprobado y lo indicado en el reglamento de propiedad horizontal.",227,217-910
25,Artículo 25,Obligatoriedad y efectos,"Modificado por el art. 43, Ley 2079 de 2021 <El texto adicionado es el siguiente> Todo reglamento de propiedad horizontal deberá señalar los coeficientes de copropiedad de los bienes de dominio particular que integran el conjunto o edificio, los cuales se calcularán de conformidad con lo establecido en la presente ley. Tales coeficientes determinarán:
1. La proporción de los derechos de cada uno de los propietarios de bienes privados sobre los bienes comunes del edificio, agrupación o conjunto.2. El porcentaje de participación en la asamblea general de propietarios, salvo en los casos que se exija votación nominal. Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-522 de 2002.
3. El índice de participación con que cada uno de los propietarios de bienes privados ha de contribuir a las expensas comunes del edifico o conjunto, mediante el pago de cuotas ordinarias y extraordinarias de administración, salvo cuando éstas se determinen de acuerdo con los módulos de contribución en la forma señalada en el reglamento. PARÁGRAFO 1°. Adicionado por el art. 43, Ley 2079 de 2021 <El texto adicionado es el siguiente>  La conformación de la Asamblea General de Copropietarios será potestativa para edificios o conjuntos de vivienda de interés social y vivienda de interés prioritario de 5 o menos unidades de vivienda. En caso de no constituirse Asamblea General de Copropietarios, el reglamento de propiedad horizontal deberá incluir la forma en la cual se tomarán decisiones.El texto original era el siguiente:",242,217-910
29,Artículo 29,Participación en las expensas comunes necesarias,"Los propietarios de los bienes privados de un edificio o conjunto estarán obligados a contribuir al pago de las expensas necesarias causadas por la administración y la prestación de servicios comunes esenciales para la existencia, seguridad y conservación de los bienes comunes, de acuerdo con el reglamento de propiedad horizontal.
Para efecto de las expensas comunes ordinarias, existirá solidaridad en su pago entre el propietario y el tenedor a cualquier título de bienes de dominio privado.
Igualmente, existirá solidaridad en su pago entre el propietario anterior y el nuevo propietario del respectivo bien privado, respecto de las expensas comunes no pagadas por el primero, al momento de llevarse a cabo la transferencia del derecho de dominio.En la escritura de transferencia de dominio de un bien inmueble sometido a propiedad horizontal, el notario exigirá paz y salvo de las contribuciones a las expensas comunes expedido por el Representante Legal de la copropiedad.
En caso de no contarse con el paz y salvo, se dejará constancia en la escritura de tal circunstancia, de la respectiva solicitud presentada al administrador de la copropiedad y de la solidaridad del nuevo propietario por las deudas que existan con la copropiedad.
PARÁGRAFO 1º.. Cuando el dominio de un bien privado perteneciere en común y proindiviso a dos o más personas, cada una de ellas será solidariamente responsable del pago de la totalidad de las expensas comunes correspondientes a dicho bien, sin perjuicio de repetir lo pagado contra sus comuneros, en la proporción que les corresponda.
PARÁGRAFO 2º. La obligación de contribuir oportunamente con las expensas comunes del edificio o conjunto se aplica aun cuando un propietario no ocupe su bien privado, o no haga uso efectivo de un determinado bien o servicio común.
PARÁGRAFO 3º. En los edificios residenciales y de oficinas, los propietarios de bienes de dominio particular ubicados en el primer piso no estarán obligados a contribuir al mantenimiento, reparación y reposición de ascensores, cuando para acceder a su parqueadero, depósito, a otros bienes de uso privado, o a bienes comunes de uso y goce general, no exista servicio de ascensor. Esta disposición será aplicable a otros edificios o conjuntos, cuando así lo prevea el reglamento d e propiedad horizontal correspondiente.PARÁGRAFO 4°.  Adicionado por el art. 44, Ley 2079 de 2021. <El texto adicionado es el siguiente> Cuando se trate de régimen de propiedad horizontal de Viviendas de Interés Social y Viviendas de Interés Prioritario de 5 o menos unidades de vivienda, la Asamblea General de Copropietarios o quien haga sus veces podrá determinar cuáles expensas asumirán los copropietarios.",425,217-910
37,Artículo 37,Integración y alcance de sus decisiones,"La asamblea general la constituirán los propietarios de bienes privados, o sus representantes o delegados, reunidos con el quórum y las condiciones previstas en esta ley y en el reglamento de propiedad horizontal.
Todos los propietarios de bienes privados que integran el edificio o conjunto tendrán derecho a participar en sus deliberaciones y a votar en ella. El voto de cada propietario equivaldrá al porcentaje del coeficiente de copropiedad del respectivo bien privado. NOTA: Inciso declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-522 de 2002 ""en el entendido que cuando se trate de inmuebles destinados a vivienda, el voto de cada propietario equivaldrá al porcentaje de coeficiente de propiedad del respectivo bien privado, sólo para las decisiones de contenido económico conforme a lo expresado en la parte motiva de la sentencia"".
Las decisiones adoptadas de acuerdo con las normas legales y reglamentarias, son de obligatorio cumplimiento para todos los propietarios, inclusive para los ausentes o disidentes, para el administrador y demás órganos, y en lo pertinente para los usuarios y ocupantes del edificio o conjunto.
NOTA: Textos subrayados declarados EXEQUIBLES por la Corte Constitucional mediante Sentencia C-318 de 2002, ""bajo el entendido de que los moradores no propietarios de inmuebles sometidos al régimen de propiedad horizontal podrán ejercer ante las autoridades internas del mismo el derecho de petición, así como el de ser oídos en las decisiones que puedan afectarlos, conforme a lo expuesto en la parte motiva de esta sentencia.Igualmente, se declara la exequibilidad de las normas acusadas bajo el entendido de que, cuando se trate de la imposición de sanciones por parte de las autoridades internas del inmueble sometido al régimen de propiedad horizontal, habrá de respetarse y garantizarse a los no propietarios el ejercicio del derecho de defensa"".",292,217-910
38,Artículo 38,Naturaleza y funciones,"La asamblea general de propietarios es el órgano de dirección de la persona jurídica que surge por mandato de esta ley, y tendrá como funciones básicas las siguientes:
1. Nombrar y remover libremente al administrador y a su suplente cuando fuere el caso, para períodos determinados, y fijarle su remuneración.NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-474 de 2004.
2. Aprobar o improbar los estados financieros y el presupuesto anual de ingresos y gastos que deberán someter a su consideración el Consejo Administrativo y el Administrador.
3. Nombrar y remover libremente a los miembros del comité de convivencia para períodos de un año, en los edificios o conjuntos de uso residencial.
4. Aprobar el presupuesto anual del edificio o conjunto y las cuotas para atender las expensas ordinarias o extraordinarias, así como incrementar el fondo de imprevistos, cuando fuere el caso.
5. Elegir y remover los miembros del consejo de administración y, cuando exista, al Revisor Fiscal y su suplente, para los períodos establecidos en el reglamento de propiedad horizontal, que en su defecto, será de un año.
6. Aprobar las reformas al reglamento de propiedad horizontal.
7. Decidir la desafectación de bienes comunes no esenciales, y autorizar su venta o división, cuando fuere el caso, y decidir, en caso de duda, sobre el carácter esencial o no de un bien común.
8. Decidir la reconstrucción del edificio o conjunto, de conformidad con lo previsto en la presente ley.
9. Decidir, salvo en el caso que corresponda al consejo de administración, sobre la procedencia de sanciones por incumplimiento de las obligaciones previstas en esta ley y en el reglamento de propiedad horizontal, con observancia del debido proceso y del derecho de defensa consagrado para el caso en el respectivo reglamento de propiedad horizontal.
10. Aprobar la disolución y liquidación de la persona Jurídica.
11. Otorgar autorización al administrador para realizar cualquier erogación con cargo al Fondo de Imprevistos de que trata la presente ley.
12. Las demás funciones fijadas en esta ley, en los decretos reglamentarios de la misma, y en el reglamento de propiedad horizontal.
PARÁGRAFO. La asamblea general podrá delegar en el Consejo de Administración, cuando exista, las funciones indicadas en el numeral 3 del presente artículo.",373,217-910
