titulo_id,capitulo_id,contiene
1,1,Generalidades
1,2,Generalidades
1,3,Generalidades
1,4,Generalidades
1,5,Generalidades
1,6,Generalidades
1,7,Generalidades
1,8,Generalidades
1,9,Generalidades
1,10,generalidades
1,11,Generalidades
1,12,Generalidades
1,13,Generalidades
2,14,"De la solucion de conflictos, del procedimiento para las sanciones, de los recursos y de las sanciones"
2,15,"De la solucion de conflictos, del procedimiento para las sanciones, de los recursos y de las sanciones"
3,16,Unidades inmobiliarias cerradas
3,17,Unidades inmobiliarias cerradas
3,18,Unidades inmobiliarias cerradas
3,19,Unidades inmobiliarias cerradas
3,20,Unidades inmobiliarias cerradas
4,21,Disposiciones finales
